Rk,Team,Date,ORtg,DRtg,3PA,TOV,ORB,DRB,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
109,IU Indy,11/3/2025,119.5,138.3,38,12,11,13,@,Ohio State,L 102-118,200,38,76,0.5,26,38,0.684,12,38,0.316,14,20,0.7,102,34,54,0.63,26,32,0.813,8,22,0.364,42,53,0.792,118,11,13,24,11,30,41,20,6,0,12,36,19,6,1,16,17,119.5,138.3,0.263,0.5,0.596,0.579,0.184,138.3,119.5,0.981,0.407,0.745,0.704,0.778
110,Jackson State,11/3/2025,72.8,149.6,29,10,3,13,@,Illinois,L 55-113,200,19,62,0.306,12,33,0.364,7,29,0.241,10,14,0.714,55,40,73,0.548,23,36,0.639,17,37,0.459,16,24,0.667,113,3,13,16,21,39,60,5,11,2,10,22,23,6,2,12,10,72.8,149.6,0.226,0.468,0.401,0.363,0.161,149.6,72.8,0.329,0.507,0.669,0.664,0.219
111,Jacksonville,11/3/2025,94.4,117.6,27,12,5,14,@,Miami (FL),L 69-86,200,27,58,0.466,19,31,0.613,8,27,0.296,7,14,0.5,69,27,49,0.551,24,35,0.686,3,14,0.214,29,37,0.784,86,5,14,19,7,23,30,11,8,2,12,27,18,7,3,15,15,94.4,117.6,0.241,0.466,0.534,0.534,0.121,117.6,94.4,0.755,0.286,0.646,0.582,0.592
112,Jacksonville State,11/3/2025,136.4,73.4,40,10,18,37,,Oakwood,W 117-63,200,39,79,0.494,26,39,0.667,13,40,0.325,26,34,0.765,117,22,66,0.333,18,39,0.462,4,27,0.148,15,24,0.625,63,18,37,55,7,21,28,21,10,5,10,20,7,8,0,14,26,136.4,73.4,0.43,0.506,0.615,0.576,0.329,73.4,136.4,0.364,0.409,0.407,0.364,0.227
113,James Madison,11/3/2025,96,114.9,29,17,9,21,@,Akron,L 71-85,200,24,61,0.393,13,32,0.406,11,29,0.379,12,13,0.923,71,27,63,0.429,19,38,0.5,8,25,0.32,23,29,0.793,85,9,21,30,12,21,33,14,5,9,17,22,15,10,6,8,13,96,114.9,0.213,0.475,0.528,0.484,0.197,114.9,96,0.46,0.397,0.554,0.492,0.365
114,Kansas,11/3/2025,145.8,79.1,27,3,9,35,,Green Bay,W 94-51,200,33,58,0.569,23,31,0.742,10,27,0.37,18,24,0.75,94,16,56,0.286,8,25,0.32,8,31,0.258,11,18,0.611,51,9,35,44,5,17,22,20,6,8,3,15,7,2,2,6,20,145.8,79.1,0.414,0.466,0.677,0.655,0.31,79.1,145.8,0.321,0.554,0.395,0.357,0.196
115,Kennesaw State,11/3/2025,131,36.2,36,11,11,49,,Paine,W 105-29,200,37,69,0.536,20,33,0.606,17,36,0.472,14,20,0.7,105,12,73,0.164,10,50,0.2,2,23,0.087,3,6,0.5,29,11,49,60,7,20,27,22,8,6,11,7,4,6,2,13,15,131,36.2,0.29,0.522,0.669,0.659,0.203,36.2,131,0.082,0.315,0.191,0.178,0.041
116,Kent State,11/3/2025,113.2,120.2,31,14,21,23,,Troy,L 97-103 (OT),225,30,79,0.38,18,48,0.375,12,31,0.387,25,33,0.758,97,33,63,0.524,21,37,0.568,12,26,0.462,25,33,0.758,103,21,23,44,6,27,33,17,5,5,14,23,20,8,3,11,24,113.2,120.2,0.418,0.392,0.512,0.456,0.316,120.2,113.2,0.524,0.413,0.655,0.619,0.397
117,Lafayette,11/3/2025,106,118.6,21,7,10,19,@,Saint Joseph's,L 76-85,200,29,64,0.453,23,43,0.535,6,21,0.286,12,23,0.522,76,30,66,0.455,24,41,0.585,6,25,0.24,19,22,0.864,85,10,19,29,12,26,38,9,5,0,7,19,17,5,4,7,18,106,118.6,0.359,0.328,0.507,0.5,0.188,118.6,106,0.333,0.379,0.556,0.5,0.288
118,Lamar,11/3/2025,127,72.4,28,14,12,29,,Texas A&M–San Antonio,W 93-53,200,33,63,0.524,23,35,0.657,10,28,0.357,17,23,0.739,93,17,53,0.321,9,32,0.281,8,21,0.381,11,18,0.611,53,12,29,41,8,18,26,23,10,4,14,18,12,7,2,17,17,127,72.4,0.365,0.444,0.629,0.603,0.27,72.4,127,0.34,0.396,0.431,0.396,0.208
119,Le Moyne,11/3/2025,124.1,66,24,10,12,28,,SUNY Cobleskill,W 94-50,200,39,73,0.534,33,49,0.673,6,24,0.25,10,13,0.769,94,20,57,0.351,15,39,0.385,5,18,0.278,5,9,0.556,50,12,28,40,10,20,30,22,16,4,10,14,11,4,3,23,12,124.1,66,0.178,0.329,0.594,0.575,0.137,66,124.1,0.158,0.316,0.408,0.395,0.088
120,Lehigh,11/3/2025,82.4,108.4,15,14,9,21,@,Houston,L 57-75,200,19,51,0.373,15,36,0.417,4,15,0.267,15,23,0.652,57,26,61,0.426,19,40,0.475,7,21,0.333,16,20,0.8,75,9,21,30,12,25,37,5,8,3,14,16,14,11,6,13,22,82.4,108.4,0.451,0.294,0.46,0.412,0.294,108.4,82.4,0.328,0.344,0.532,0.484,0.262
121,Liberty,11/3/2025,138.5,80.6,33,10,7,37,,Kentucky Christian,W 98-57,200,38,62,0.613,22,29,0.759,16,33,0.485,6,11,0.545,98,21,60,0.35,12,37,0.324,9,23,0.391,6,9,0.667,57,7,37,44,2,20,22,24,7,6,10,10,9,8,1,9,13,138.5,80.6,0.177,0.532,0.729,0.742,0.097,80.6,138.5,0.15,0.383,0.443,0.425,0.1
122,Lipscomb,11/3/2025,81,139.5,26,17,7,23,@,Vanderbilt,L 61-105,200,17,56,0.304,11,30,0.367,6,26,0.231,21,22,0.955,61,38,68,0.559,21,37,0.568,17,31,0.548,12,17,0.706,105,7,23,30,8,27,35,8,3,1,17,16,24,13,6,6,19,81,139.5,0.393,0.464,0.459,0.357,0.375,139.5,81,0.25,0.456,0.69,0.684,0.176
123,LIU,11/3/2025,93.7,124.5,18,14,12,16,@,Notre Dame,L 67-89,200,21,55,0.382,15,37,0.405,6,18,0.333,19,31,0.613,67,27,55,0.491,13,28,0.464,14,27,0.519,21,30,0.7,89,12,16,28,15,26,41,12,10,3,14,22,15,7,1,17,24,93.7,124.5,0.564,0.327,0.48,0.436,0.345,124.5,93.7,0.545,0.491,0.643,0.618,0.382
124,Longwood,11/3/2025,118.5,70.8,9,20,19,29,,Mary Baldwin,W 92-55,200,31,58,0.534,29,49,0.592,2,9,0.222,28,40,0.7,92,21,57,0.368,13,30,0.433,8,27,0.296,5,9,0.556,55,19,29,48,6,11,17,11,15,5,20,19,10,13,1,22,23,118.5,70.8,0.69,0.155,0.597,0.552,0.483,70.8,118.5,0.158,0.474,0.449,0.439,0.088
125,Louisiana,11/3/2025,96.5,113.1,28,12,8,19,@,Ball State,L 64-75,200,25,59,0.424,16,31,0.516,9,28,0.321,5,9,0.556,64,24,46,0.522,16,31,0.516,8,15,0.533,19,28,0.679,75,8,19,27,4,24,28,13,6,4,12,23,15,6,2,10,12,96.5,113.1,0.153,0.475,0.506,0.5,0.085,113.1,96.5,0.609,0.326,0.632,0.609,0.413
126,Louisiana–Monroe,11/3/2025,110.2,137.1,20,12,6,9,@,Northern Illinois,L 82-102,200,29,56,0.518,21,36,0.583,8,20,0.4,16,22,0.727,82,36,65,0.554,25,38,0.658,11,27,0.407,19,26,0.731,102,6,9,15,17,21,38,13,7,2,12,20,23,3,2,16,22,110.2,137.1,0.393,0.357,0.617,0.589,0.286,137.1,110.2,0.4,0.415,0.659,0.638,0.292
127,Louisville,11/3/2025,126,54.5,32,16,11,34,,South Carolina State,W 104-45,200,33,62,0.532,21,30,0.7,12,32,0.375,26,33,0.788,104,13,57,0.228,11,38,0.289,2,19,0.105,17,22,0.773,45,11,34,45,10,19,29,23,12,4,16,21,5,6,5,25,25,126,54.5,0.532,0.516,0.669,0.629,0.419,54.5,126,0.386,0.333,0.334,0.246,0.298
128,Loyola Chicago,11/3/2025,119.1,115.2,37,7,10,15,,Cleveland State,W 91-88,200,29,66,0.439,15,29,0.517,14,37,0.378,19,25,0.76,91,28,64,0.438,17,34,0.5,11,30,0.367,21,23,0.913,88,10,15,25,11,23,34,21,6,7,7,19,18,2,4,14,19,119.1,115.2,0.379,0.561,0.584,0.545,0.288,115.2,119.1,0.359,0.469,0.587,0.523,0.328
129,Loyola Marymount,11/3/2025,161.2,63.5,22,9,11,39,,Lincoln (CA),W 137-54,200,52,74,0.703,43,52,0.827,9,22,0.409,24,27,0.889,137,18,61,0.295,11,26,0.423,7,35,0.2,11,15,0.733,54,11,39,50,3,11,14,26,10,9,9,19,9,3,1,20,19,161.2,63.5,0.365,0.297,0.789,0.764,0.324,63.5,161.2,0.246,0.574,0.396,0.352,0.18
