Rk,Team,Date,ORtg,DRtg,3PA,TOV,ORB,DRB,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
6056,Wofford,1/10/2026,125.8,141.4,32,12,12,16,@,Mercer,L 97-109,200,32,68,0.471,16,36,0.444,16,32,0.5,17,22,0.773,97,35,55,0.636,23,36,0.639,12,19,0.632,27,31,0.871,109,12,16,28,7,26,33,15,8,3,12,24,23,7,2,13,20,125.8,141.4,0.324,0.471,0.618,0.588,0.25,141.4,125.8,0.564,0.345,0.782,0.745,0.491
6057,Wyoming,1/10/2026,132.7,147.1,18,6,8,12,@,Nevada,L 83-92,200,26,50,0.52,18,32,0.563,8,18,0.444,23,31,0.742,83,31,51,0.608,21,35,0.6,10,16,0.625,20,24,0.833,92,8,12,20,8,19,27,10,4,1,6,23,21,2,6,8,19,132.7,147.1,0.62,0.36,0.641,0.6,0.46,147.1,132.7,0.471,0.314,0.737,0.706,0.392
6058,Xavier,1/10/2026,120.4,104.3,30,3,6,31,,Providence,W 97-84,200,37,75,0.493,25,45,0.556,12,30,0.4,11,15,0.733,97,31,69,0.449,23,37,0.622,8,32,0.25,14,21,0.667,84,6,31,37,6,31,37,23,4,7,3,21,20,1,4,9,16,120.4,104.3,0.2,0.4,0.591,0.573,0.147,104.3,120.4,0.304,0.464,0.532,0.507,0.203
6059,Yale,1/10/2026,91.6,116,29,8,10,15,@,Princeton,L 60-76,200,23,65,0.354,18,36,0.5,5,29,0.172,9,15,0.6,60,22,48,0.458,11,21,0.524,11,27,0.407,21,23,0.913,76,10,15,25,8,26,34,6,5,0,8,21,11,7,4,10,16,91.6,116,0.231,0.446,0.416,0.392,0.138,116,91.6,0.479,0.563,0.645,0.573,0.438
6060,UAB,1/11/2026,100.6,98.3,13,8,10,25,@,East Carolina,W 87-85 (OT),225,35,77,0.455,32,64,0.5,3,13,0.231,14,21,0.667,87,31,70,0.443,23,48,0.479,8,22,0.364,15,23,0.652,85,10,25,35,10,31,41,17,11,2,8,18,16,3,7,17,19,100.6,98.3,0.273,0.169,0.5,0.474,0.182,98.3,100.6,0.329,0.314,0.525,0.5,0.214
6061,UC Irvine,1/11/2026,88.4,89.8,8,15,14,26,@,Hawaii,L 66-67,200,26,67,0.388,24,59,0.407,2,8,0.25,12,15,0.8,66,26,64,0.406,20,40,0.5,6,24,0.25,9,13,0.692,67,14,26,40,9,20,29,6,9,9,15,15,15,7,11,13,15,88.4,89.8,0.224,0.119,0.445,0.403,0.179,89.8,88.4,0.203,0.375,0.477,0.453,0.141
6062,Canisius,1/11/2026,77,118.7,18,6,9,20,@,Iona,L 48-74,200,18,61,0.295,12,43,0.279,6,18,0.333,6,8,0.75,48,29,54,0.537,16,26,0.615,13,28,0.464,3,6,0.5,74,9,20,29,7,33,40,10,9,1,6,8,21,5,8,13,9,77,118.7,0.131,0.295,0.37,0.344,0.098,118.7,77,0.111,0.519,0.651,0.657,0.056
6063,UCF,1/11/2026,108.9,107.4,14,13,4,22,,Cincinnati,W 73-72,200,30,52,0.577,24,38,0.632,6,14,0.429,7,9,0.778,73,32,67,0.478,29,48,0.604,3,19,0.158,5,8,0.625,72,4,22,26,9,16,25,20,1,3,13,14,19,9,3,7,14,108.9,107.4,0.173,0.269,0.649,0.635,0.135,107.4,108.9,0.119,0.284,0.508,0.5,0.075
6064,Charlotte,1/11/2026,112.1,110.5,23,12,5,22,@,Rice,W 74-73,200,24,46,0.522,14,23,0.609,10,23,0.435,16,27,0.593,74,21,59,0.356,14,35,0.4,7,24,0.292,24,30,0.8,73,5,22,27,15,21,36,12,6,3,12,22,10,8,2,8,21,112.1,110.5,0.587,0.5,0.629,0.63,0.348,110.5,112.1,0.508,0.407,0.498,0.415,0.407
6065,Cincinnati,1/11/2026,107.4,108.9,19,7,9,16,@,UCF,L 72-73,200,32,67,0.478,29,48,0.604,3,19,0.158,5,8,0.625,72,30,52,0.577,24,38,0.632,6,14,0.429,7,9,0.778,73,9,16,25,4,22,26,19,9,3,7,14,20,1,3,13,14,107.4,108.9,0.119,0.284,0.508,0.5,0.075,108.9,107.4,0.173,0.269,0.649,0.635,0.135
6066,Cleveland State,1/11/2026,110.4,123.6,33,14,7,15,@,Detroit Mercy,L 84-94,200,27,58,0.466,12,25,0.48,15,33,0.455,15,24,0.625,84,29,65,0.446,19,43,0.442,10,22,0.455,26,31,0.839,94,7,15,22,20,27,47,18,7,4,14,23,23,11,3,16,23,110.4,123.6,0.414,0.569,0.605,0.595,0.259,123.6,110.4,0.477,0.338,0.59,0.523,0.4
6067,Detroit Mercy,1/11/2026,123.6,110.4,22,16,20,27,,Cleveland State,W 94-84,200,29,65,0.446,19,43,0.442,10,22,0.455,26,31,0.839,94,27,58,0.466,12,25,0.48,15,33,0.455,15,24,0.625,84,20,27,47,7,15,22,23,11,3,16,23,18,7,4,14,23,123.6,110.4,0.477,0.338,0.59,0.523,0.4,110.4,123.6,0.414,0.569,0.605,0.595,0.259
6068,East Carolina,1/11/2026,98.3,100.6,22,17,10,31,,UAB,L 85-87 (OT),225,31,70,0.443,23,48,0.479,8,22,0.364,15,23,0.652,85,35,77,0.455,32,64,0.5,3,13,0.231,14,21,0.667,87,10,31,41,10,25,35,16,3,7,17,19,17,11,2,8,18,98.3,100.6,0.329,0.314,0.525,0.5,0.214,100.6,98.3,0.273,0.169,0.5,0.474,0.182
6069,Florida Atlantic,1/11/2026,113.2,99.2,28,15,13,31,,Memphis,W 89-78,200,35,69,0.507,27,41,0.659,8,28,0.286,11,16,0.688,89,28,62,0.452,16,34,0.471,12,28,0.429,10,16,0.625,78,13,31,44,5,22,27,15,8,9,15,16,18,9,1,14,17,113.2,99.2,0.232,0.406,0.581,0.565,0.159,99.2,113.2,0.258,0.452,0.56,0.548,0.161
6070,Green Bay,1/11/2026,131.6,128.3,19,7,8,22,,Northern Kentucky,W 80-78,200,30,52,0.577,20,33,0.606,10,19,0.526,10,15,0.667,80,26,58,0.448,16,32,0.5,10,26,0.385,16,20,0.8,78,8,22,30,7,15,22,20,1,3,7,15,16,7,1,3,17,131.6,128.3,0.288,0.365,0.677,0.673,0.192,128.3,131.6,0.345,0.448,0.578,0.534,0.276
6071,Hawaii,1/11/2026,89.8,88.4,24,13,9,20,,UC Irvine,W 67-66,200,26,64,0.406,20,40,0.5,6,24,0.25,9,13,0.692,67,26,67,0.388,24,59,0.407,2,8,0.25,12,15,0.8,66,9,20,29,14,26,40,15,7,11,13,15,6,9,9,15,15,89.8,88.4,0.203,0.375,0.477,0.453,0.141,88.4,89.8,0.224,0.119,0.445,0.403,0.179
6072,Illinois,1/11/2026,111.9,102.9,28,12,8,26,@,Iowa,W 75-69,200,28,57,0.491,18,29,0.621,10,28,0.357,9,11,0.818,75,27,66,0.409,18,37,0.486,9,29,0.31,6,6,1,69,8,26,34,9,19,28,15,7,4,12,11,19,5,2,8,14,111.9,102.9,0.193,0.491,0.603,0.579,0.158,102.9,111.9,0.091,0.439,0.501,0.477,0.091
6073,Iona,1/11/2026,118.7,77,28,13,7,33,,Canisius,W 74-48,200,29,54,0.537,16,26,0.615,13,28,0.464,3,6,0.5,74,18,61,0.295,12,43,0.279,6,18,0.333,6,8,0.75,48,7,33,40,9,20,29,21,5,8,13,9,10,9,1,6,8,118.7,77,0.111,0.519,0.651,0.657,0.056,77,118.7,0.131,0.295,0.37,0.344,0.098
6074,Iowa,1/11/2026,102.9,111.9,29,8,9,19,,Illinois,L 69-75,200,27,66,0.409,18,37,0.486,9,29,0.31,6,6,1,69,28,57,0.491,18,29,0.621,10,28,0.357,9,11,0.818,75,9,19,28,8,26,34,19,5,2,8,14,15,7,4,12,11,102.9,111.9,0.091,0.439,0.501,0.477,0.091,111.9,102.9,0.193,0.491,0.603,0.579,0.158
6075,Purdue Fort Wayne,1/11/2026,122.6,114.9,24,11,7,21,@,Robert Morris,W 79-74,200,28,51,0.549,17,27,0.63,11,24,0.458,12,17,0.706,79,28,63,0.444,17,33,0.515,11,30,0.367,7,10,0.7,74,7,21,28,11,17,28,12,5,4,11,13,20,4,0,9,15,122.6,114.9,0.333,0.471,0.669,0.657,0.235,114.9,122.6,0.159,0.476,0.546,0.532,0.111
6076,IU Indy,1/11/2026,119,136.2,25,8,7,12,@,Milwaukee,L 83-95,200,31,64,0.484,23,39,0.59,8,25,0.32,13,14,0.929,83,35,58,0.603,26,34,0.765,9,24,0.375,16,25,0.64,95,7,12,19,14,23,37,20,8,1,8,21,15,5,4,12,14,119,136.2,0.219,0.391,0.587,0.547,0.203,136.2,119,0.431,0.414,0.68,0.681,0.276
6077,Manhattan,1/11/2026,132.4,117.4,15,4,11,20,,Niagara,W 79-70,200,27,56,0.482,21,41,0.512,6,15,0.4,19,21,0.905,79,27,55,0.491,17,30,0.567,10,25,0.4,6,7,0.857,70,11,20,31,7,16,23,18,7,1,4,7,22,2,5,9,14,132.4,117.4,0.375,0.268,0.599,0.536,0.339,117.4,132.4,0.127,0.455,0.6,0.582,0.109
6078,Marist,1/11/2026,107.7,74.3,21,7,7,31,@,Rider,W 71-49,200,29,63,0.46,21,42,0.5,8,21,0.381,5,6,0.833,71,18,47,0.383,17,41,0.415,1,6,0.167,12,21,0.571,49,7,31,38,3,25,28,15,6,1,7,17,7,4,5,12,11,107.7,74.3,0.095,0.333,0.539,0.524,0.079,74.3,107.7,0.447,0.128,0.43,0.394,0.255
6079,Memphis,1/11/2026,99.2,113.2,28,14,5,22,@,Florida Atlantic,L 78-89,200,28,62,0.452,16,34,0.471,12,28,0.429,10,16,0.625,78,35,69,0.507,27,41,0.659,8,28,0.286,11,16,0.688,89,5,22,27,13,31,44,18,9,1,14,17,15,8,9,15,16,99.2,113.2,0.258,0.452,0.56,0.548,0.161,113.2,99.2,0.232,0.406,0.581,0.565,0.159
6080,Merrimack,1/11/2026,101.4,122.4,18,12,11,14,@,Saint Peter's,L 63-76,200,22,52,0.423,20,34,0.588,2,18,0.111,17,21,0.81,63,25,48,0.521,20,35,0.571,5,13,0.385,21,30,0.7,76,11,14,25,15,19,34,9,10,3,12,22,16,7,8,14,18,101.4,122.4,0.404,0.346,0.508,0.442,0.327,122.4,101.4,0.625,0.271,0.61,0.573,0.438
6081,Milwaukee,1/11/2026,136.2,119,24,12,14,23,,IU Indy,W 95-83,200,35,58,0.603,26,34,0.765,9,24,0.375,16,25,0.64,95,31,64,0.484,23,39,0.59,8,25,0.32,13,14,0.929,83,14,23,37,7,12,19,15,5,4,12,14,20,8,1,8,21,136.2,119,0.431,0.414,0.68,0.681,0.276,119,136.2,0.219,0.391,0.587,0.547,0.203
6082,Mount St. Mary's,1/11/2026,79.4,106.3,27,15,13,20,,Siena,L 50-67,200,15,51,0.294,9,24,0.375,6,27,0.222,14,20,0.7,50,23,55,0.418,16,32,0.5,7,23,0.304,14,20,0.7,67,13,20,33,8,21,29,6,4,3,15,19,10,7,1,7,17,79.4,106.3,0.392,0.529,0.413,0.353,0.275,106.3,79.4,0.364,0.418,0.519,0.482,0.255
6083,Niagara,1/11/2026,117.4,132.4,25,9,7,16,@,Manhattan,L 70-79,200,27,55,0.491,17,30,0.567,10,25,0.4,6,7,0.857,70,27,56,0.482,21,41,0.512,6,15,0.4,19,21,0.905,79,7,16,23,11,20,31,22,2,5,9,14,18,7,1,4,7,117.4,132.4,0.127,0.455,0.6,0.582,0.109,132.4,117.4,0.375,0.268,0.599,0.536,0.339
6084,North Texas,1/11/2026,92.3,107.4,10,12,12,15,@,Wichita State,L 67-78,200,24,64,0.375,21,54,0.389,3,10,0.3,16,22,0.727,67,26,51,0.51,21,40,0.525,5,11,0.455,21,29,0.724,78,12,15,27,12,25,37,7,13,6,12,22,8,8,7,18,16,92.3,107.4,0.344,0.156,0.45,0.398,0.25,107.4,92.3,0.569,0.216,0.602,0.559,0.412
6085,Northern Kentucky,1/11/2026,128.3,131.6,26,3,7,15,@,Green Bay,L 78-80,200,26,58,0.448,16,32,0.5,10,26,0.385,16,20,0.8,78,30,52,0.577,20,33,0.606,10,19,0.526,10,15,0.667,80,7,15,22,8,22,30,16,7,1,3,17,20,1,3,7,15,128.3,131.6,0.345,0.448,0.578,0.534,0.276,131.6,128.3,0.288,0.365,0.677,0.673,0.192
6086,Northwestern,1/11/2026,105.2,108,18,6,10,28,@,Rutgers,L 75-77 (OT),225,26,63,0.413,20,45,0.444,6,18,0.333,17,29,0.586,75,26,64,0.406,20,45,0.444,6,19,0.316,19,27,0.704,77,10,28,38,13,33,46,20,5,6,6,22,14,4,4,6,21,105.2,108,0.46,0.286,0.488,0.46,0.27,108,105.2,0.422,0.297,0.501,0.453,0.297
6087,Oakland,1/11/2026,113.3,126.7,19,6,6,11,,Wright State,L 84-94,200,27,58,0.466,20,39,0.513,7,19,0.368,23,32,0.719,84,35,59,0.593,26,41,0.634,9,18,0.5,15,15,1,94,6,11,17,9,28,37,9,13,7,6,14,21,4,4,18,21,113.3,126.7,0.552,0.328,0.574,0.526,0.397,126.7,113.3,0.254,0.305,0.711,0.669,0.254
6088,Ohio State,1/11/2026,112.9,123.6,22,10,15,20,@,Washington,L 74-81,200,27,63,0.429,20,41,0.488,7,22,0.318,13,15,0.867,74,28,56,0.5,22,38,0.579,6,18,0.333,19,23,0.826,81,15,20,35,8,19,27,14,4,3,10,17,14,4,6,7,14,112.9,123.6,0.238,0.349,0.528,0.484,0.206,123.6,112.9,0.411,0.321,0.605,0.554,0.339
6089,Quinnipiac,1/11/2026,110,94.3,17,6,10,25,@,Sacred Heart,W 70-60,200,27,61,0.443,20,44,0.455,7,17,0.412,9,14,0.643,70,21,55,0.382,11,28,0.393,10,27,0.37,8,14,0.571,60,10,25,35,12,24,36,20,10,3,6,14,13,4,3,14,13,110,94.3,0.23,0.279,0.517,0.5,0.148,94.3,110,0.255,0.491,0.487,0.473,0.145
6090,Rice,1/11/2026,110.5,112.1,24,8,15,21,,Charlotte,L 73-74,200,21,59,0.356,14,35,0.4,7,24,0.292,24,30,0.8,73,24,46,0.522,14,23,0.609,10,23,0.435,16,27,0.593,74,15,21,36,5,22,27,10,8,2,8,21,12,6,3,12,22,110.5,112.1,0.508,0.407,0.498,0.415,0.407,112.1,110.5,0.587,0.5,0.629,0.63,0.348
6091,Richmond,1/11/2026,93.2,96.1,25,7,8,28,,Saint Joseph's,L 65-67,200,22,64,0.344,12,39,0.308,10,25,0.4,11,16,0.688,65,27,64,0.422,17,33,0.515,10,31,0.323,3,6,0.5,67,8,28,36,8,33,41,10,6,2,7,8,15,5,4,10,12,93.2,96.1,0.25,0.391,0.454,0.422,0.172,96.1,93.2,0.094,0.484,0.501,0.5,0.047
6092,Rider,1/11/2026,74.3,107.7,6,12,3,25,,Marist,L 49-71,200,18,47,0.383,17,41,0.415,1,6,0.167,12,21,0.571,49,29,63,0.46,21,42,0.5,8,21,0.381,5,6,0.833,71,3,25,28,7,31,38,7,4,5,12,11,15,6,1,7,17,74.3,107.7,0.447,0.128,0.43,0.394,0.255,107.7,74.3,0.095,0.333,0.539,0.524,0.079
6093,Robert Morris,1/11/2026,114.9,122.6,30,9,11,17,,Purdue Fort Wayne,L 74-79,200,28,63,0.444,17,33,0.515,11,30,0.367,7,10,0.7,74,28,51,0.549,17,27,0.63,11,24,0.458,12,17,0.706,79,11,17,28,7,21,28,20,4,0,9,15,12,5,4,11,13,114.9,122.6,0.159,0.476,0.546,0.532,0.111,122.6,114.9,0.333,0.471,0.669,0.657,0.235
6094,Rutgers,1/11/2026,108,105.2,19,6,13,33,,Northwestern,W 77-75 (OT),225,26,64,0.406,20,45,0.444,6,19,0.316,19,27,0.704,77,26,63,0.413,20,45,0.444,6,18,0.333,17,29,0.586,75,13,33,46,10,28,38,14,4,4,6,21,20,5,6,6,22,108,105.2,0.422,0.297,0.501,0.453,0.297,105.2,108,0.46,0.286,0.488,0.46,0.27
6095,Sacred Heart,1/11/2026,94.3,110,27,14,12,24,,Quinnipiac,L 60-70,200,21,55,0.382,11,28,0.393,10,27,0.37,8,14,0.571,60,27,61,0.443,20,44,0.455,7,17,0.412,9,14,0.643,70,12,24,36,10,25,35,13,4,3,14,13,20,10,3,6,14,94.3,110,0.255,0.491,0.487,0.473,0.145,110,94.3,0.23,0.279,0.517,0.5,0.148
6096,Saint Joseph's,1/11/2026,96.1,93.2,31,10,8,33,@,Richmond,W 67-65,200,27,64,0.422,17,33,0.515,10,31,0.323,3,6,0.5,67,22,64,0.344,12,39,0.308,10,25,0.4,11,16,0.688,65,8,33,41,8,28,36,15,5,4,10,12,10,6,2,7,8,96.1,93.2,0.094,0.484,0.501,0.5,0.047,93.2,96.1,0.25,0.391,0.454,0.422,0.172
6097,Saint Peter's,1/11/2026,122.4,101.4,13,14,15,19,,Merrimack,W 76-63,200,25,48,0.521,20,35,0.571,5,13,0.385,21,30,0.7,76,22,52,0.423,20,34,0.588,2,18,0.111,17,21,0.81,63,15,19,34,11,14,25,16,7,8,14,18,9,10,3,12,22,122.4,101.4,0.625,0.271,0.61,0.573,0.438,101.4,122.4,0.404,0.346,0.508,0.442,0.327
6098,Siena,1/11/2026,106.3,79.4,23,7,8,21,@,Mount St. Mary's,W 67-50,200,23,55,0.418,16,32,0.5,7,23,0.304,14,20,0.7,67,15,51,0.294,9,24,0.375,6,27,0.222,14,20,0.7,50,8,21,29,13,20,33,10,7,1,7,17,6,4,3,15,19,106.3,79.4,0.364,0.418,0.519,0.482,0.255,79.4,106.3,0.392,0.529,0.413,0.353,0.275
6099,Washington,1/11/2026,123.6,112.9,18,7,8,19,,Ohio State,W 81-74,200,28,56,0.5,22,38,0.579,6,18,0.333,19,23,0.826,81,27,63,0.429,20,41,0.488,7,22,0.318,13,15,0.867,74,8,19,27,15,20,35,14,4,6,7,14,14,4,3,10,17,123.6,112.9,0.411,0.321,0.605,0.554,0.339,112.9,123.6,0.238,0.349,0.528,0.484,0.206
6100,Wichita State,1/11/2026,107.4,92.3,11,18,12,25,,North Texas,W 78-67,200,26,51,0.51,21,40,0.525,5,11,0.455,21,29,0.724,78,24,64,0.375,21,54,0.389,3,10,0.3,16,22,0.727,67,12,25,37,12,15,27,8,8,7,18,16,7,13,6,12,22,107.4,92.3,0.569,0.216,0.602,0.559,0.412,92.3,107.4,0.344,0.156,0.45,0.398,0.25
6101,Wright State,1/11/2026,126.7,113.3,18,18,9,28,@,Oakland,W 94-84,200,35,59,0.593,26,41,0.634,9,18,0.5,15,15,1,94,27,58,0.466,20,39,0.513,7,19,0.368,23,32,0.719,84,9,28,37,6,11,17,21,4,4,18,21,9,13,7,6,14,126.7,113.3,0.254,0.305,0.711,0.669,0.254,113.3,126.7,0.552,0.328,0.574,0.526,0.397
6102,Alabama A&M,1/12/2026,121.8,110.9,25,12,5,32,,Jackson State,W 100-91,200,29,56,0.518,21,31,0.677,8,25,0.32,34,43,0.791,100,28,63,0.444,17,28,0.607,11,35,0.314,24,31,0.774,91,5,32,37,6,23,29,17,7,2,12,25,12,6,3,9,26,121.8,110.9,0.768,0.446,0.654,0.589,0.607,110.9,121.8,0.492,0.556,0.585,0.532,0.381
6103,Alabama State,1/12/2026,112.5,91.7,21,15,5,28,,Alcorn State,W 81-66,200,26,50,0.52,18,29,0.621,8,21,0.381,21,26,0.808,81,23,61,0.377,15,35,0.429,8,26,0.308,12,16,0.75,66,5,28,33,10,17,27,12,9,5,15,14,11,9,2,13,18,112.5,91.7,0.52,0.42,0.65,0.6,0.42,91.7,112.5,0.262,0.426,0.481,0.443,0.197
6104,Alcorn State,1/12/2026,91.7,112.5,26,13,10,17,@,Alabama State,L 66-81,200,23,61,0.377,15,35,0.429,8,26,0.308,12,16,0.75,66,26,50,0.52,18,29,0.621,8,21,0.381,21,26,0.808,81,10,17,27,5,28,33,11,9,2,13,18,12,9,5,15,14,91.7,112.5,0.262,0.426,0.481,0.443,0.197,112.5,91.7,0.52,0.42,0.65,0.6,0.42
6105,American,1/12/2026,103.4,81.2,37,7,14,26,,Navy,W 65-51,200,25,66,0.379,17,29,0.586,8,37,0.216,7,9,0.778,65,15,46,0.326,11,27,0.407,4,19,0.211,17,24,0.708,51,14,26,40,9,23,32,13,5,2,7,19,10,3,3,14,14,103.4,81.2,0.136,0.561,0.462,0.439,0.106,81.2,103.4,0.522,0.413,0.444,0.37,0.37
6106,Arkansas–Pine Bluff,1/12/2026,87.4,104.5,26,14,10,22,@,Prairie View A&M,L 61-73,200,20,60,0.333,13,34,0.382,7,26,0.269,14,23,0.609,61,24,56,0.429,18,41,0.439,6,15,0.4,19,31,0.613,73,10,22,32,11,30,41,7,1,5,14,24,15,7,4,5,18,87.4,104.5,0.383,0.433,0.43,0.392,0.233,104.5,87.4,0.554,0.268,0.516,0.482,0.339
6107,Bethune-Cookman,1/12/2026,100.5,106,21,16,8,27,,Southern,L 73-77,200,25,54,0.463,19,33,0.576,6,21,0.286,17,21,0.81,73,25,66,0.379,20,50,0.4,5,16,0.313,22,30,0.733,77,8,27,35,17,24,41,12,4,7,16,21,9,14,2,10,18,100.5,106,0.389,0.389,0.571,0.519,0.315,106,100.5,0.455,0.242,0.48,0.417,0.333
6108,Coppin State,1/12/2026,111.8,114.9,26,13,15,16,,South Carolina State,L 72-74,200,18,50,0.36,8,24,0.333,10,26,0.385,26,35,0.743,72,22,43,0.512,13,26,0.5,9,17,0.529,21,34,0.618,74,15,16,31,7,20,27,12,8,1,13,26,13,9,8,12,23,111.8,114.9,0.7,0.52,0.54,0.46,0.52,114.9,111.8,0.791,0.395,0.626,0.616,0.488
6109,Delaware State,1/12/2026,91.5,132.5,18,15,10,11,@,Howard,L 58-84,200,18,49,0.367,12,31,0.387,6,18,0.333,16,21,0.762,58,29,53,0.547,24,38,0.632,5,15,0.333,21,27,0.778,84,10,11,21,10,18,28,10,3,2,15,21,21,9,4,7,20,91.5,132.5,0.429,0.367,0.492,0.429,0.327,132.5,91.5,0.509,0.283,0.638,0.594,0.396
6110,Florida A&M,1/12/2026,124.9,115.3,30,16,9,16,,Grambling State,W 91-84,200,29,53,0.547,17,23,0.739,12,30,0.4,21,26,0.808,91,28,55,0.509,22,38,0.579,6,17,0.353,22,26,0.846,84,9,16,25,4,14,18,13,5,0,16,22,11,8,0,10,22,124.9,115.3,0.491,0.566,0.696,0.66,0.396,115.3,124.9,0.473,0.309,0.624,0.564,0.4
6111,Grambling State,1/12/2026,115.3,124.9,17,10,4,14,@,Florida A&M,L 84-91,200,28,55,0.509,22,38,0.579,6,17,0.353,22,26,0.846,84,29,53,0.547,17,23,0.739,12,30,0.4,21,26,0.808,91,4,14,18,9,16,25,11,8,0,10,22,13,5,0,16,22,115.3,124.9,0.473,0.309,0.624,0.564,0.4,124.9,115.3,0.491,0.566,0.696,0.66,0.396
6112,Houston Christian,1/12/2026,89,101.7,20,12,12,20,@,Lamar,L 56-64,200,18,53,0.34,14,33,0.424,4,20,0.2,16,23,0.696,56,20,44,0.455,13,26,0.5,7,18,0.389,17,23,0.739,64,12,20,32,8,22,30,13,7,3,12,21,14,9,8,15,17,89,101.7,0.434,0.377,0.438,0.377,0.302,101.7,89,0.523,0.409,0.583,0.534,0.386
6113,Howard,1/12/2026,132.5,91.5,15,7,10,18,,Delaware State,W 84-58,200,29,53,0.547,24,38,0.632,5,15,0.333,21,27,0.778,84,18,49,0.367,12,31,0.387,6,18,0.333,16,21,0.762,58,10,18,28,10,11,21,21,9,4,7,20,10,3,2,15,21,132.5,91.5,0.509,0.283,0.638,0.594,0.396,91.5,132.5,0.429,0.367,0.492,0.429,0.327
6114,Incarnate Word,1/12/2026,67.9,82.6,13,12,7,25,@,Stephen F. Austin,L 46-56,200,18,55,0.327,18,42,0.429,0,13,0,10,15,0.667,46,21,61,0.344,19,41,0.463,2,20,0.1,12,22,0.545,56,7,25,32,12,29,41,7,3,4,12,19,7,9,4,9,18,67.9,82.6,0.273,0.236,0.37,0.327,0.182,82.6,67.9,0.361,0.328,0.392,0.361,0.197
6115,Jackson State,1/12/2026,110.9,121.8,35,9,6,23,@,Alabama A&M,L 91-100,200,28,63,0.444,17,28,0.607,11,35,0.314,24,31,0.774,91,29,56,0.518,21,31,0.677,8,25,0.32,34,43,0.791,100,6,23,29,5,32,37,12,6,3,9,26,17,7,2,12,25,110.9,121.8,0.492,0.556,0.585,0.532,0.381,121.8,110.9,0.768,0.446,0.654,0.589,0.607
6116,Lamar,1/12/2026,101.7,89,18,15,8,22,,Houston Christian,W 64-56,200,20,44,0.455,13,26,0.5,7,18,0.389,17,23,0.739,64,18,53,0.34,14,33,0.424,4,20,0.2,16,23,0.696,56,8,22,30,12,20,32,14,9,8,15,17,13,7,3,12,21,101.7,89,0.523,0.409,0.583,0.534,0.386,89,101.7,0.434,0.377,0.438,0.377,0.302
6117,Maryland Eastern Shore,1/12/2026,115.4,109.2,21,9,10,18,@,Norfolk State,W 74-70,200,20,49,0.408,14,28,0.5,6,21,0.286,28,37,0.757,74,22,48,0.458,19,35,0.543,3,13,0.231,23,33,0.697,70,10,18,28,9,17,26,13,6,2,9,22,13,7,1,8,24,115.4,109.2,0.755,0.429,0.556,0.469,0.571,109.2,115.4,0.688,0.271,0.55,0.49,0.479
6118,McNeese State,1/12/2026,125.2,90.6,23,11,8,28,,Nicholls State,W 94-68,200,32,62,0.516,21,39,0.538,11,23,0.478,19,22,0.864,94,24,59,0.407,12,26,0.462,12,33,0.364,8,14,0.571,68,8,28,36,10,18,28,18,9,6,11,15,16,9,4,19,17,125.2,90.6,0.355,0.371,0.649,0.605,0.306,90.6,125.2,0.237,0.559,0.518,0.508,0.136
6119,Mississippi Valley State,1/12/2026,75.4,124.2,10,17,10,18,@,Texas Southern,L 51-84,200,21,54,0.389,18,44,0.409,3,10,0.3,6,16,0.375,51,29,58,0.5,12,25,0.48,17,33,0.515,9,12,0.75,84,10,18,28,9,24,33,8,8,1,17,10,23,8,3,12,16,75.4,124.2,0.296,0.185,0.414,0.417,0.111,124.2,75.4,0.207,0.569,0.659,0.647,0.155
6120,Morgan State,1/12/2026,112.8,128.7,22,11,12,17,,North Carolina Central,L 78-89,200,24,55,0.436,17,33,0.515,7,22,0.318,23,33,0.697,78,30,47,0.638,26,38,0.684,4,9,0.444,25,33,0.758,89,12,17,29,3,23,26,14,3,2,11,22,24,6,1,9,24,112.8,128.7,0.6,0.4,0.552,0.5,0.418,128.7,112.8,0.702,0.191,0.71,0.681,0.532
6121,Navy,1/12/2026,81.2,103.4,19,14,9,23,@,American,L 51-65,200,15,46,0.326,11,27,0.407,4,19,0.211,17,24,0.708,51,25,66,0.379,17,29,0.586,8,37,0.216,7,9,0.778,65,9,23,32,14,26,40,10,3,3,14,14,13,5,2,7,19,81.2,103.4,0.522,0.413,0.444,0.37,0.37,103.4,81.2,0.136,0.561,0.462,0.439,0.106
6122,New Orleans,1/12/2026,109.7,105.5,16,14,9,30,@,Southeastern Louisiana,W 79-76,200,21,47,0.447,15,31,0.484,6,16,0.375,31,39,0.795,79,22,61,0.361,16,39,0.41,6,22,0.273,26,39,0.667,76,9,30,39,15,16,31,5,2,5,14,29,10,9,4,9,29,109.7,105.5,0.83,0.34,0.603,0.511,0.66,105.5,109.7,0.639,0.361,0.478,0.41,0.426
