date,team,opponent,location,MOV,OffRtg_diff,DefRtg_diff,ThreePA_diff,TOV_diff,ORB_diff,DRB_diff,RecentForm_diff,SOS_diff,Pace_diff
2026-03-05,Southern Illinois,Drake,0,-4,-6.558064516129022,-11.693548387096769,-8.870967741935484,1.870967741935484,1.387096774193548,1.5483870967741922,17.200000000000003,-6.4,3.9000000000000057
2025-11-20,Southern Indiana,Incarnate Word,0,-6,-23.849999999999994,-3.1999999999999886,-0.75,5.0,-2.0,1.0,-18.25,-4.0,4.099999999999994
2025-11-22,Southern Indiana,Illinois–Chicago,0,-11,-16.280000000000015,7.660000000000025,3.3999999999999986,-1.799999999999999,-1.4000000000000004,3.0,-18.4,-8.9,1.5
2025-12-07,Southern Indiana,Indiana State,-1,-22,-3.0333333333333456,6.25555555555556,-0.11111111111111072,-1.8888888888888893,1.3333333333333321,1.5555555555555571,-9.2,-7.0,-0.4000000000000057
2025-12-18,Southern Indiana,Little Rock,1,-15,4.024545454545461,-12.14181818181818,11.518181818181816,-3.336363636363636,0.336363636363636,7.309090909090909,20.6,-1.8000000000000007,2.0999999999999943
2025-12-20,Southern Indiana,Morehead State,1,-4,-6.86363636363636,-6.88181818181819,7.90909090909091,-2.4545454545454533,-2.3636363636363633,2.27272727272727,4.3999999999999995,-1.3000000000000007,2.200000000000003
2026-01-01,Southern Indiana,SIU Edwardsville,-1,-4,-10.558333333333337,9.475641025641025,5.608974358974361,0.37820512820512775,-0.16025641025641058,-0.5128205128205146,-12.2,0.0,3.200000000000003
2026-01-03,Southern Indiana,Lindenwood,-1,-3,-10.792307692307702,10.033516483516479,7.236263736263734,-1.1263736263736277,-0.5714285714285712,-2.4835164835164854,-41.2,-1.0,-4.0
2026-01-08,Southern Indiana,Southeast Missouri State,1,-8,-9.590000000000003,2.800952380952367,4.790476190476191,-0.704761904761904,0.5952380952380949,0.6619047619047613,-20.2,-1.8000000000000007,0.09999999999999432
2026-01-22,Southern Indiana,Eastern Illinois,1,-8,-1.0950292397660917,0.39941520467837677,8.885964912280702,-0.7807017543859658,2.5847953216374266,1.7719298245614041,-15.6,-0.8000000000000007,2.5999999999999943
2026-01-29,Southern Indiana,Lindenwood,1,-13,-7.9497619047619,5.405476190476179,7.283333333333331,-1.7928571428571427,-0.47142857142857153,-0.4547619047619058,3.4,-1.0,-4.0
2026-01-31,Southern Indiana,SIU Edwardsville,1,-12,-9.290259740259742,4.646969696969691,5.573593073593074,1.166666666666666,0.37229437229437146,1.071428571428573,1.0000000000000004,0.0,3.200000000000003
2026-02-07,Southern Indiana,Southeast Missouri State,-1,-25,-12.408152173913038,0.15706521739129187,4.5181159420289845,-0.061594202898550776,1.2572463768115956,1.1992753623188435,-15.6,-1.8000000000000007,0.09999999999999432
2026-02-21,Southern Indiana,Eastern Illinois,-1,2,-1.6318783068783063,0.5547619047619037,7.644179894179896,-0.24735449735449677,2.3386243386243386,1.6388888888888893,-8.2,-0.8000000000000007,2.5999999999999943
2026-02-24,Southern Indiana,Morehead State,-1,-1,-12.90061576354681,-4.612315270935966,6.71551724137931,-0.583743842364532,-0.6428571428571423,0.5800492610837438,-14.399999999999999,-1.3000000000000007,2.200000000000003
2026-02-28,Southern Indiana,Little Rock,-1,-19,-4.763218390804596,-4.3439080459770025,6.319540229885057,-1.0344827586206904,0.4114942528735632,2.828735632183907,-1.2000000000000002,-1.8000000000000007,2.0999999999999943
2025-11-13,Southern Mississippi,Grambling State,-1,-5,12.600000000000009,3.7666666666666515,6.333333333333336,-5.000000000000002,1.666666666666666,6.0,6.333333333333332,4.8999999999999995,0.7999999999999972
2025-11-22,Southern Mississippi,North Florida,0,9,6.614999999999995,-14.299999999999997,-10.45,0.25,0.9000000000000004,6.899999999999999,15.3,2.8,-2.200000000000003
2025-12-03,Southern Mississippi,Radford,-1,7,13.101587301587301,-4.40952380952379,-10.666666666666668,-1.6190476190476204,-0.07936507936507908,2.7301587301587276,13.0,2.3,-4.099999999999994
2025-12-06,Southern Mississippi,Miami (FL),-1,-24,-2.5486111111111285,12.651388888888889,0.30555555555555713,-0.7777777777777786,0.6944444444444446,-1.1944444444444429,-10.2,-13.0,0.7999999999999972
2025-12-08,Southern Mississippi,Grambling State,1,8,11.511111111111106,-0.2666666666666657,0.25,-2.625,3.2222222222222214,4.444444444444443,10.8,4.8999999999999995,0.7999999999999972
2025-12-13,Southern Mississippi,Ole Miss,0,-4,0.45777777777776407,3.3488888888888937,-1.7444444444444436,1.9555555555555557,1.7888888888888896,1.2222222222222214,4.6,-14.100000000000001,0.20000000000000284
2025-12-18,Southern Mississippi,Louisiana,1,8,21.754545454545465,-7.054545454545448,-3.6363636363636367,0.09090909090909172,2.8181818181818175,4.181818181818183,12.4,0.8999999999999995,5.6000000000000085
2025-12-20,Southern Mississippi,Arkansas State,1,-7,-1.8500000000000085,-4.608333333333334,-7.5,-2.5,-1.083333333333334,-0.9166666666666679,-12.0,-0.7000000000000002,-3.200000000000003
2025-12-29,Southern Mississippi,Louisiana State,-1,-28,-15.614102564102566,2.644871794871804,-2.352564102564102,1.25,-0.25,-3.6538461538461533,-8.6,-12.7,-0.29999999999999716
2026-01-01,Southern Mississippi,Louisiana–Monroe,-1,14,7.007142857142853,-7.800000000000011,-6.571428571428573,-1.2857142857142865,2.8571428571428568,2.0,3.8000000000000007,0.0,0.0
2026-01-03,Southern Mississippi,Louisiana,-1,7,16.620000000000005,-2.220000000000013,-4.933333333333334,1.0,2.7333333333333334,3.8666666666666636,-1.1999999999999997,0.8999999999999995,5.6000000000000085
2026-01-10,Southern Mississippi,Louisiana–Monroe,1,10,6.71764705882353,-9.847058823529409,-6.0588235294117645,-0.6470588235294112,3.0588235294117636,3.235294117647058,8.799999999999999,0.0,0.0
2026-01-22,Southern Mississippi,Georgia State,-1,-7,6.548157894736832,0.1510526315789491,-9.936842105263157,1.3499999999999996,0.5052631578947366,0.6447368421052637,-9.2,1.0999999999999996,0.7999999999999972
2026-01-24,Southern Mississippi,Coastal Carolina,-1,-18,2.666666666666657,1.319047619047609,-7.428571428571427,2.7142857142857153,0.23809523809523725,-4.904761904761905,-5.8,0.5,0.5
2026-01-29,Southern Mississippi,Appalachian State,1,-7,-3.9772727272727195,4.281818181818167,-8.18181818181818,3.1363636363636367,-1.4090909090909083,-1.7272727272727266,-17.2,0.5,5.299999999999997
2026-01-31,Southern Mississippi,James Madison,1,8,-5.253162055335963,-6.214229249011851,-8.756916996047433,1.0909090909090917,-0.28260869565217384,-0.7470355731225311,-14.4,0.0,2.299999999999997
2026-02-04,Southern Mississippi,Marshall,-1,-4,-8.03446969696968,0.1295454545454504,-10.348484848484851,0.09469696969697061,-1.2803030303030294,-1.40909090909091,-18.8,-0.40000000000000036,-1.0
2026-02-07,Southern Mississippi,Kent State,1,1,-8.052521739130455,-0.5123478260869518,-9.845217391304349,-2.1304347826086953,-2.241739130434784,-2.5165217391304324,-4.8,-1.6,-3.700000000000003
2026-02-12,Southern Mississippi,South Alabama,1,-6,-2.651923076923083,4.541346153846163,-1.6025641025641022,3.6314102564102573,2.4647435897435903,-1.419871794871792,-7.6,0.5,3.0
2026-02-21,Southern Mississippi,Old Dominion,1,5,-0.45714285714286973,-2.6035714285714278,-4.464285714285715,1.8928571428571441,2.0357142857142856,-0.35714285714285765,-5.800000000000001,-0.5,-0.8999999999999915
2026-02-24,Southern Mississippi,Arkansas State,-1,-5,-8.089655172413785,-0.8379310344827502,-10.551724137931032,-1.275862068965516,-2.655172413793103,-2.3103448275862064,-18.2,-0.7000000000000002,-3.200000000000003
2026-02-27,Southern Mississippi,South Alabama,-1,13,-4.673333333333346,3.353333333333353,-3.3333333333333357,4.166666666666666,2.9666666666666677,-1.4000000000000021,-7.8,0.5,3.0
